YEAR,STATE,ST_CASE,FATALS,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_WEATHER,A_LT,A_MC,A_SPCRA,A_PED,A_PED_F,A_PEDAL,A_PEDAL_F,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_RD,A_HR,A_DIST,A_DROWSY,A_WRONGWAY,BIA,SPJ_INDIAN,INDIAN_RES,CENSUS_2020_TRACT_FIPS,TRACT
2022,1,10088,1,1,4,2,2,2,2,3,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01103005404,1
2022,1,10089,1,1,4,1,2,1,1,3,1,4,1,1,2,1,1,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01079979100,1
2022,1,10090,1,1,4,1,2,1,2,5,2,3,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01125012501,1
2022,1,10091,1,1,4,2,2,1,2,4,2,1,2,1,1,13,1,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01097006702,1
2022,1,10092,1,1,4,1,2,1,2,3,2,3,1,1,2,13,1,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01081042101,1
2022,1,10093,1,1,4,1,2,1,2,3,2,2,1,1,2,1,1,2,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,2,2,1,2,2,0,0,0,01077011603,1
2022,1,10094,1,1,4,2,2,1,1,4,1,1,1,1,1,13,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,2,0,0,0,01073005905,1
2022,1,10095,1,1,4,2,2,4,2,4,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01047956701,1
2022,1,10096,1,1,4,2,1,4,2,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,0,0,0,01115040104,1
2022,1,10097,1,1,4,2,2,4,2,4,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01101005501,1
2022,1,10098,1,1,4,1,2,4,2,4,2,1,1,1,1,2,1,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01051030402,1
2022,1,10099,1,1,4,1,2,1,2,4,2,3,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01107050300,1
2022,1,10100,2,1,4,1,1,4,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,2,2,0,0,0,01049960800,1
2022,1,10101,1,1,4,1,2,1,1,3,1,1,2,1,2,2,1,2,2,1,1,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,2,0,0,0,01015002503,1
2022,1,10102,1,1,4,1,2,1,2,6,3,4,2,1,2,13,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01097005701,1
2022,1,10103,1,1,4,2,2,4,2,3,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01055010402,1
2022,1,10104,1,1,4,2,2,1,2,4,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01003010903,1
2022,1,10105,1,1,4,2,2,1,1,4,1,4,1,1,2,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,01069040302,1
2022,1,10106,1,1,4,2,2,1,2,4,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,01015001501,1
2022,1,10107,1,1,4,1,2,1,2,5,2,2,2,1,2,13,2,2,2,2,2,2,2,1,1,3,1,1,1,1,2,2,1,2,2,2,2,2,0,0,0,01077011502,1
2022,1,10108,1,1,4,1,2,4,2,5,2,1,2,1,1,13,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01049960602,1
2022,1,10109,1,1,4,1,2,4,2,5,2,1,2,1,1,13,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01043965502,1
2022,1,10110,1,1,4,1,1,1,2,1,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,01085781200,1
2022,1,10111,1,1,4,2,1,1,2,1,2,4,2,2,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,01103005305,1
2022,1,10112,1,1,4,1,2,4,2,3,3,1,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01037961000,1
2022,1,10113,2,1,4,2,2,1,2,4,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,2,2,0,0,0,01051030902,1
2022,1,10114,1,1,4,1,2,1,2,3,2,3,1,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01043965300,1
2022,1,10115,1,1,4,1,2,4,2,6,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01003011601,1
2022,1,10116,1,1,4,2,2,1,2,6,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01073002701,1
2022,1,10117,1,1,4,1,2,4,2,5,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01059973300,1
2022,1,10118,1,1,4,1,2,4,2,4,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01075030000,1
2022,1,10119,1,1,4,2,2,4,2,4,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01045021300,1
2022,1,10120,2,1,4,1,1,3,2,1,2,1,2,1,1,1,1,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01083020104,1
2022,1,10121,1,1,4,1,2,4,2,5,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01031010600,1
2022,1,10122,1,1,4,2,2,1,2,6,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0,01101000400,1
2022,1,10123,2,1,4,2,2,1,1,3,1,1,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,01089002100,1
2022,1,10124,1,1,4,2,2,1,1,5,1,1,1,1,1,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,0,0,0,01015002600,1
2022,1,10125,1,1,4,2,2,4,2,6,2,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,0,0,0,01095031002,1
2022,1,10126,1,1,4,1,2,4,2,6,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,0,0,0,01043965501,1
2022,1,10127,1,1,4,2,2,4,2,5,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,0,0,0,01125010304,1
2022,1,10128,1,1,4,2,2,1,1,3,1,3,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,01071950902,1
